university,city,country,meal_inexpensive_restaurant,water,cigarettes,monthly_pass,taxi,basic,internet,cinema,appartment_centre,appartment_outside_centre,beer_restaurant,beer_market,fruits,vegetables,latitude,longitude
Vrije Universiteit Amsterdam,Amsterdam,Netherlands,19.22,1.03,8.52,103.87,2.57,277.41,48.88,13.5,1769.11,1512.73,5.545,1.71,2.2875,1.5,52.3730796,4.8924534
Lancaster University,Lancaster,United States,28.5,2.12,8.5,51,1.86,180.24,73.89,11,1110,1100,6,4.155,4.01,2.625,40.03813,-76.3056686
North Carolina State University,Raleigh,United States,15,2.07,6.5,20,1.86,170.24,64.11,12,1611.36,1225,5.5,2.255,3.81,2.275,35.7803977,-78.6390989
Ruhr University Bochum,Bochum,Germany,12.98,0.79,7.48,83.1,1.97,211.69,30.9,12.46,545.32,415.48,3.38,1.37,1.7425,0.93,51.4818111,7.2196635
UCLouvain,Louvain-la-Neuve,Belgium,15.58,,,,,,54.01,10.39,1168.53,727.09,4.15,,,,50.6741689,4.613790587
"University of California, Riverside",Riverside,United States,17,2.25,10.5,40,1.81,246.39,82.22,14,1856.5,1650,6.25,3.695,3.415,3.295,33.9533546,-117.3961623
University of Colorado at Boulder,Boulder,United States,28.5,2.55,10.5,145,1.4,151.71,77.86,14,2466.67,1975,7.5,3.215,3.5225,2.12,40.0149856,-105.270545
University of Nottingham,Nottingham,United Kingdom,14.41,0.92,15.53,72.07,1.45,135.2,37.74,12.61,891.12,637.29,4.8,2.005,2.5225,1.575,52.9534193,-1.1496461
University of Oulu,Oulu,Finland,12.46,1.54,9.87,54.53,1.66,101.99,22.73,15.58,694.02,514.15,6.62,3.31,3.025,1.265,65.0118734,25.4716809
University of Potsdam,Potsdam,Germany,10.39,0.41,7.48,44.66,2.18,195.37,32.43,10.39,1038.7,597.25,3.64,0.9,1.5975,1.25,52.4009309,13.0591397
University of Virginia,Charlottesville,United States,13.5,1.85,7.85,25,1.49,115.92,72.25,12,1660,1183.33,6.75,2.17,4.5775,3.23,38.029306,-78.4766781
Virginia Tech,Blacksburg,United States,22.5,3,6,,,154.88,55,11,1100,725,6,1.58,5.0825,4.95,37.2296566,-80.4136767
Aalborg University,Aalborg,Denmark,18.16,1.76,7.68,55.87,2.3,200.33,31.25,16.76,766.43,535.4,6.46,2.3,2.79,1.71,57.0462626,9.9215263
The Hebrew University of Jerusalem,Jerusalem,Israel,17.48,1.58,10.2,62.05,1.02,150.43,26.89,11.65,1281.72,1004.16,7.94,3.045,2.175,1.19,31.79592425,35.21198076
Humboldt University Berlin,Berlin,Germany,12.46,0.68,8.31,88.29,2.23,302.6,39.91,12.46,1307.95,953.36,4.15,1.35,2.5325,1.73,52.5170365,13.3888599
Indian Institute of Science,Bangalore,India,3.06,0.36,4.28,18.36,0.37,25.02,10.76,4.9,237.25,144.6,2.89,2.63,1.1925,0.435,12.9767936,77.590082
Indiana University Bloomington,Bloomington,United States,15,1.47,5.87,30,1.24,127.96,57.93,11,1100,883.33,4.5,1.715,3.0975,1.91,39.1670396,-86.5342881
University of Alberta,Edmonton,Canada,18.61,1.81,12.66,74.45,1.23,185.15,59.56,11.17,912.28,755.01,5.585,2.375,3.07,1.895,53.5462055,-113.491241
University of Bristol,Bristol,United Kingdom,18.02,1.21,15.62,100.18,1.6,255.74,40.49,12.01,1311.57,1029.58,5.71,2.435,2.335,1.41,51.4538022,-2.5972985
Friedrich-Alexander-Universität Erlangen-Nürnberg (FAU),Nuremberg,Germany,10.39,0.57,7.53,83.1,1.87,240.26,33.93,12.46,703.72,474.02,3.895,1.03,1.9375,1.215,49.453872,11.077298
University of Groningen,Groningen,Netherlands,15.58,0.66,8.52,93.48,2.5,259.79,45.81,12.46,896.2,667.56,4.155,1.18,2.025,0.975,53.2190652,6.5680077
University of Sheffield,Sheffield,United Kingdom,13.21,1.29,14.41,88.78,1.19,230.03,36.04,11.65,817.47,657.37,4.8,2.64,1.805,1.01,53.3806626,-1.4702278
University of Trento,Trento,Italy,14.54,0.42,6.23,34.07,2.08,163.75,32.33,9.35,727.09,545.32,5.19,1.48,1.9075,1.255,46.1029536,11.12974249
University of Utah,Salt Lake City,United States,17,2.03,8,85,1.55,122.62,59.25,12,1622.11,1306.05,6.375,2.355,2.81,1.84,40.7596198,-111.886797
University of Warwick,Coventry,United Kingdom,12.01,1,13.21,60.06,1.8,304.73,39.64,13.21,986.47,725.38,4.5,1.745,2.1025,1.235,52.4081812,-1.510477
Queensland University of Technology,Brisbane,Australia,13.41,1.68,26.82,132.78,1.46,131.28,50.02,12.07,1290.34,1020.53,6.04,3.9,3.05,2.04,-27.4689682,153.0234991
University of Helsinki,Helsinki,Finland,13.5,1.68,9.87,67.52,1.48,106.32,22.52,15.58,1041.66,830.09,7.79,2.87,2.5175,1.305,60.1674881,24.9427473
The Hong Kong Polytechnic University,Hong Kong,Hong Kong,7.68,1.6,7.94,64.02,1.22,199.27,22.78,12.8,2284.16,1629.08,6.4,2.295,3.405,2.63,22.2793278,114.1628131
University of Pittsburgh,Pittsburgh,United States,15,1.85,8.99,97.5,1.24,199.43,66.47,11.25,1454.92,1001.79,5,3.535,5.3725,4.01,40.4416941,-79.9900861
University of Southampton,Southampton,United Kingdom,13.78,1.23,15.01,69.07,1.66,276.51,40.99,14.41,966.95,867.1,5.105,2.165,1.67,1.155,50.9025349,-1.404189
Australian National University,Canberra,Australia,15.42,1.46,23.47,70.42,1.45,133.15,50.58,12.07,1371.43,1141.94,6.54,3.815,3.2325,1.855,-35.2975906,149.1012676
University of Bonn,Bonn,Germany,15.58,0.43,7.79,114.26,1.97,280.92,35.55,11.43,657.84,609.37,4.28,1,1.8375,1.045,50.735851,7.10066
University of Stuttgart,Stuttgart,Germany,12.46,0.65,7.63,74.99,2.18,236.12,34.73,12.46,1038.7,850.45,4.15,1.125,2.095,1.67,48.7784485,9.1800132
